label	seed	zone	floor	profession	tileset	boundsWidth	boundsHeight	visibleCellCount	fillPermille	aspectPermille	connectedComponents	decision	failureReason
dark-uiux-pr08-d9-1-shattered_outpost-floor1-vanguard	2026060901	shattered_outpost	1	vanguard	tileset.ruins	9	10	78	866	1111	1	FULL_PLATE_SAFE	safe
dark-uiux-pr08-d9-2-shattered_outpost-floor1-rogue	2026060902	shattered_outpost	1	rogue	tileset.ruins	14	13	132	725	1076	1	TOPOLOGY_RISK_LOW_FILL	fillPermille=725
dark-uiux-pr08-d9-3-shattered_outpost-floor2-vanguard	2026060903	shattered_outpost	2	vanguard	tileset.ruins	9	16	100	694	1777	1	TOPOLOGY_RISK_LOW_FILL	fillPermille=694
dark-uiux-pr08-d9-4-shattered_outpost-floor2-rogue	2026060904	shattered_outpost	2	rogue	tileset.ruins	14	13	149	818	1076	1	FULL_PLATE_SAFE	safe
dark-uiux-pr08-d9-5-greenwood_fringe-floor1-vanguard	2026060905	greenwood_fringe	1	vanguard	tileset.forest_edge	15	10	119	793	1500	1	FULL_PLATE_SAFE	safe
dark-uiux-pr08-d9-6-greenwood_fringe-floor1-rogue	2026060906	greenwood_fringe	1	rogue	tileset.forest_edge	15	12	126	700	1250	1	TOPOLOGY_RISK_LOW_FILL	fillPermille=700
dark-uiux-pr08-d9-7-greenwood_fringe-floor2-vanguard	2026060907	greenwood_fringe	2	vanguard	tileset.forest_edge	15	12	134	744	1250	1	TOPOLOGY_RISK_LOW_FILL	fillPermille=744
dark-uiux-pr08-d9-8-greenwood_fringe-floor2-rogue	2026060908	greenwood_fringe	2	rogue	tileset.forest_edge	14	11	93	603	1272	1	TOPOLOGY_RISK_LOW_FILL	fillPermille=603
dark-uiux-pr08-d9-9-deep_iron_pit-floor1-vanguard	2026060909	deep_iron_pit	1	vanguard	tileset.mine	14	10	87	621	1400	1	TOPOLOGY_RISK_LOW_FILL	fillPermille=621
dark-uiux-pr08-d9-10-deep_iron_pit-floor1-rogue	2026060910	deep_iron_pit	1	rogue	tileset.mine	13	11	106	741	1181	1	TOPOLOGY_RISK_LOW_FILL	fillPermille=741
dark-uiux-pr08-d9-11-deep_iron_pit-floor2-vanguard	2026060911	deep_iron_pit	2	vanguard	tileset.mine	14	11	126	818	1272	1	FULL_PLATE_SAFE	safe
dark-uiux-pr08-d9-12-deep_iron_pit-floor2-rogue	2026060912	deep_iron_pit	2	rogue	tileset.mine	13	11	110	769	1181	1	FULL_PLATE_SAFE	safe
dark-uiux-pr08-d9-13-grey_gate_depths-floor1-vanguard	2026060913	grey_gate_depths	1	vanguard	tileset.shadow_depths	16	13	176	846	1230	1	FULL_PLATE_SAFE	safe
dark-uiux-pr08-d9-14-grey_gate_depths-floor1-rogue	2026060914	grey_gate_depths	1	rogue	tileset.shadow_depths	13	12	136	871	1083	1	FULL_PLATE_SAFE	safe
dark-uiux-pr08-d9-15-grey_gate_depths-floor2-vanguard	2026060915	grey_gate_depths	2	vanguard	tileset.shadow_depths	9	10	72	800	1111	1	FULL_PLATE_SAFE	safe
dark-uiux-pr08-d9-16-grey_gate_depths-floor2-rogue	2026060916	grey_gate_depths	2	rogue	tileset.shadow_depths	12	13	118	756	1083	1	FULL_PLATE_SAFE	safe
dark-uiux-pr08-d9-17-underground_river-floor1-vanguard	2026060917	underground_river	1	vanguard	tileset.shadow_depths	15	11	94	569	1363	2	TOPOLOGY_RISK_DISCONNECTED	connectedComponents=2
dark-uiux-pr08-d9-18-underground_river-floor1-rogue	2026060918	underground_river	1	rogue	tileset.shadow_depths	13	10	84	646	1300	1	TOPOLOGY_RISK_LOW_FILL	fillPermille=646
dark-uiux-pr08-d9-19-underground_river-floor2-vanguard	2026060919	underground_river	2	vanguard	tileset.shadow_depths	16	11	123	698	1454	1	TOPOLOGY_RISK_LOW_FILL	fillPermille=698
dark-uiux-pr08-d9-20-underground_river-floor2-rogue	2026060920	underground_river	2	rogue	tileset.shadow_depths	16	12	129	671	1333	2	TOPOLOGY_RISK_DISCONNECTED	connectedComponents=2
dark-uiux-pr08-d9-21-abyssal_temple-floor1-vanguard	2026060921	abyssal_temple	1	vanguard	tileset.shadow_depths	15	10	101	673	1500	1	TOPOLOGY_RISK_LOW_FILL	fillPermille=673
dark-uiux-pr08-d9-22-abyssal_temple-floor1-rogue	2026060922	abyssal_temple	1	rogue	tileset.shadow_depths	13	11	116	811	1181	1	FULL_PLATE_SAFE	safe
dark-uiux-pr08-d9-23-abyssal_temple-floor2-vanguard	2026060923	abyssal_temple	2	vanguard	tileset.shadow_depths	15	11	136	824	1363	1	FULL_PLATE_SAFE	safe
dark-uiux-pr08-d9-24-abyssal_temple-floor2-rogue	2026060924	abyssal_temple	2	rogue	tileset.shadow_depths	15	10	122	813	1500	1	FULL_PLATE_SAFE	safe
dark-uiux-pr08-d9-25-abyssal_heart-floor1-vanguard	2026060925	abyssal_heart	1	vanguard	tileset.shadow_depths	13	10	100	769	1300	1	FULL_PLATE_SAFE	safe
dark-uiux-pr08-d9-26-abyssal_heart-floor1-rogue	2026060926	abyssal_heart	1	rogue	tileset.shadow_depths	14	15	171	814	1071	1	FULL_PLATE_SAFE	safe
