artifact	type	sha256	notes
UI/review/dark-uiux-pr08-exploration/non-ruins-room-art-family-2026-06-02/ui_map_stage_forest_edge_room_plate_pr08_demo.png	review-resource	34f0beadfe3ae8c2a54ac3fb14a1dcf12b744c0df635b237e141eda5106d20a7	forest-edge generated room art plate
UI/review/dark-uiux-pr08-exploration/non-ruins-room-art-family-2026-06-02/ui_map_stage_mine_room_plate_pr08_demo.png	review-resource	e00c0fb5aba9a4585efce34fbcaf84de167d565ed44fb239fa1d71296cd1c958	mine generated room art plate
UI/review/dark-uiux-pr08-exploration/non-ruins-room-art-family-2026-06-02/ui_map_stage_shadow_depths_room_plate_pr08_demo.png	review-resource	5b9b86e14b1886d8e4abe796fa3a28b4b7e2576c0a80b93b88949b07b48f1eef	shadow-depths generated room art plate v1
UI/review/dark-uiux-pr08-exploration/non-ruins-room-art-family-2026-06-02/ui_map_stage_shadow_depths_room_plate_pr08_demo_v2.png	review-resource	e4b571c9b51c9ff70edd35b57cb87de11ee65082fff8cb7d37155361d5f28e6f	shadow-depths generated room art plate v2 wide crop-fit attempt
UI/review/dark-uiux-pr08-exploration/non-ruins-room-art-family-2026-06-02/ui_map_stage_shadow_depths_room_plate_pr08_demo_v3.png	review-resource	90f24d847103db912c1ede7a4543a2376c471e755e1040e93022d0265eaf2060	shadow-depths generated room art plate v3 tall crop-fit accepted-forward
UI/review/dark-uiux-pr08-exploration/non-ruins-room-art-family-2026-06-02/ui_map_stage_shadow_depths_room_plate_pr08_demo_v4-imagegen.png	review-resource	c61f5f7c6f9924acbae795a606b28b7ec697e463ea31a57d120bdf70421a2c46	shadow-depths generated room art plate v4 right-mass accepted-forward
client/src/main/resources/dark-v1/ui/ui_map_stage_forest_edge_room_plate_pr08_demo.png	runtime-resource	34f0beadfe3ae8c2a54ac3fb14a1dcf12b744c0df635b237e141eda5106d20a7	forest-edge runtime resource
client/src/main/resources/dark-v1/ui/ui_map_stage_mine_room_plate_pr08_demo.png	runtime-resource	e00c0fb5aba9a4585efce34fbcaf84de167d565ed44fb239fa1d71296cd1c958	mine runtime resource
client/src/main/resources/dark-v1/ui/ui_map_stage_shadow_depths_room_plate_pr08_demo.png	runtime-resource	c61f5f7c6f9924acbae795a606b28b7ec697e463ea31a57d120bdf70421a2c46	shadow-depths runtime resource v4
client/build/reports/golden/dark-uiux-pr08-director/dark-uiux-pr08-director-forest-map-stage-crop.png	golden-crop	b5f50cc4bbdda39d6c8da869ff80ad291762229884709ea61e9f72bb8db8bec2	forest-edge PR08 director crop
client/build/reports/golden/dark-uiux-pr08-director/dark-uiux-pr08-director-mine-map-stage-crop.png	golden-crop	0eeac3ca0b981c3d7a6abeb059d1577bf315251ec559f2d74c0c6df69a7de9d2	mine PR08 director crop
UI/review/dark-uiux-pr08-exploration/non-ruins-room-art-family-2026-06-02/shadow-depths-v1-runtime-crop-before-v2.png	golden-crop	9388ecd5c22e437454c0e2ae1dcb696d870cde8636f809643f995e340658c401	shadow-depths PR08 director crop before v2
UI/review/dark-uiux-pr08-exploration/non-ruins-room-art-family-2026-06-02/shadow-depths-v2-runtime-crop-before-v3.png	golden-crop	150507cff095991b8cc7014ead124c8f05a1f92bfaead9f660310604c9d1059c	shadow-depths PR08 director crop before v3
UI/review/dark-uiux-pr08-exploration/non-ruins-room-art-family-2026-06-02/shadow-depths-v3-runtime-crop.png	golden-crop	af8fd4e9da209e2823b47d32a14f0b7356f103919c4596f554e6dc3af750b379	shadow-depths PR08 director crop v3 file hash
UI/review/dark-uiux-pr08-exploration/non-ruins-room-art-family-2026-06-02/shadow-depths-v4-runtime-crop.png	golden-crop	eabeb98e3aa37b804721b742caa917b84c299523f0b9683fc95b43f9531cc68e	shadow-depths PR08 director crop v4 file hash
UI/review/dark-uiux-pr08-exploration/non-ruins-room-art-family-2026-06-02/shadow-depths-v4-telegraph-combat-crop.png	golden-crop	aa15fc3b97ebe3c0473953cb59a39929c989f6acd1364375a4fc1087245abfe2	shadow-depths PR08 director telegraph combat crop v4 file hash
client/build/reports/golden/dark-uiux-pr08-director/dark-uiux-pr08-director-shadow-depths-map-stage-crop.png	golden-crop	674afbdba5bb9e4f8618c01fd7ea75590439bd5c400fb2aa000542fd02886eb5	shadow-depths PR08 director crop v4 golden harness hash
client/build/reports/golden/dark-uiux-pr08-director/dark-uiux-pr08-director-telegraph-combat-crop.png	golden-crop	2e13535fea38cef3e7a624d3659685e756588d7df3ae4907e2dd7ab03ac51b57	shadow-depths PR08 director telegraph combat crop v4 golden harness hash
UI/review/dark-uiux-pr08-exploration/non-ruins-room-art-family-2026-06-02/non-ruins-room-art-family-board.png	review-board	03f70c3b86e1741fef503815d50d5546c3c42498afe56857edcf3765645a4183	generated family plate board
UI/review/dark-uiux-pr08-exploration/non-ruins-room-art-family-2026-06-02/non-ruins-family-runtime-crop-board.png	review-board	35067979ebe94c19f03ad47c2d531a8eacfcde1cdaa892002dc159dc6b27d050	runtime crop comparison board
UI/review/dark-uiux-pr08-exploration/non-ruins-room-art-family-2026-06-02/shadow-depths-v1-v2-v3-runtime-crop-board.png	review-board	63eb3e2541ee9750d27765fbd76807561bbdd76ace2ef5cea74b9ddebcd2f3bb	shadow-depths fixed-crop v1 v2 v3 comparison board
UI/review/dark-uiux-pr08-exploration/non-ruins-room-art-family-2026-06-02/shadow-depths-v3-v4-runtime-crop-board.png	review-board	df5d91338ded19ae4032d505f067470c47170c487033db67816fd2226111c365	shadow-depths fixed-crop v3 v4 comparison board
build/whitebox/dark-uiux-pr08-director-forest-map-stage/cua-runbook.md	whitebox-runbook	ab05b83544f0935d4ed2ae3d4400a42c0bf3cdb0dbdc1a7a53b5c40cbeb90d8b	forest-edge packaged scenario materialization runbook
build/whitebox/dark-uiux-pr08-director-mine-map-stage/cua-runbook.md	whitebox-runbook	c68b0ad734330a452ea48355b6b574c09ead9cbc9d313632c985adb5320b0533	mine packaged scenario materialization runbook with evidence-summary startup surface guidance
build/whitebox/dark-uiux-pr08-director-shadow-depths-map-stage/cua-runbook.md	whitebox-runbook	17112c6b157bfcd51cee4847031591d73acd1bb1cd7486a6d3774453373380c5	shadow-depths packaged scenario materialization runbook v4 with evidence-summary startup surface guidance
build/whitebox/dark-uiux-pr08-director-forest-map-stage/expected-evidence.json	whitebox-expected-evidence	83bf7080ab6947ce55f4ee56233badafd23155df94ce19346714948aa628cbf8	forest-edge packaged scenario expected evidence
build/whitebox/dark-uiux-pr08-director-mine-map-stage/expected-evidence.json	whitebox-expected-evidence	8f807a121039a8365454d70140f7e02f07201f1b4ae00f9eb328047acc028c45	mine packaged scenario expected evidence after startup surface regeneration
build/whitebox/dark-uiux-pr08-director-shadow-depths-map-stage/expected-evidence.json	whitebox-expected-evidence	780dc25ea66f668f05bae759d430895a0faf3add2424b4c2b6cdb1b50a35e4d1	shadow-depths packaged scenario expected evidence v4 after startup surface regeneration
build/whitebox/dark-uiux-pr08-director-forest-map-stage/evidence/dark-uiux-pr08-director-forest-parity-1280x800.png	packaged-full-window	42d00bfde594d65a5e154a2b5adb231907c60138c346fd50b249855f471cb294	forest-edge packaged full-window capture
build/whitebox/dark-uiux-pr08-director-forest-map-stage/evidence/dark-uiux-pr08-director-forest-map-stage-crop.png	packaged-map-crop	0950115319c99cfecac56babdbb94690421d9a90a633461f8b134c9943ab9868	forest-edge packaged map-stage crop
build/whitebox/dark-uiux-pr08-director-forest-map-stage/evidence/dark-uiux-pr08-director-forest-right-panel-crop.png	packaged-right-panel-crop	c97dc87c2246f89e8be2a6009fd884bb7f8ccfde3e35a3638aac0eaf4b2d821f	forest-edge packaged right-panel guard crop
build/whitebox/dark-uiux-pr08-director-forest-map-stage/evidence/dark-uiux-pr08-director-forest-bottom-deck-crop.png	packaged-bottom-deck-crop	0452a57d5d0a6c3d3c6f29a105ccba8e053de5d86decb67914074e7f64cfd354	forest-edge packaged bottom-deck guard crop
build/whitebox/dark-uiux-pr08-director-forest-map-stage/evidence/dark-uiux-pr08-director-forest-evidence-summary.png	packaged-evidence-summary	1abd4612048c045602d18a35103cbc9a54c74d50e34696babd3f55dd40fcd0bb	forest-edge packaged evidence-summary capture; runtime log contains show-evidence-summary
build/whitebox/dark-uiux-pr08-director-mine-map-stage/evidence/dark-uiux-pr08-director-mine-parity-1280x800.png	packaged-full-window	8e459c0cc671037b249b091b2f3bb41f307dc1b3681cdddaa3f8ff0b3a898160	mine packaged full-window capture
build/whitebox/dark-uiux-pr08-director-mine-map-stage/evidence/dark-uiux-pr08-director-mine-map-stage-crop.png	packaged-map-crop	1a81bacfe7d63245ebc833c47d6c378baddfe970d03d182d8f4ece229faa335d	mine packaged map-stage crop
build/whitebox/dark-uiux-pr08-director-mine-map-stage/evidence/dark-uiux-pr08-director-mine-right-panel-crop.png	packaged-right-panel-crop	5c909bad145f6d8501b72978b6237db0cc39c5078580bd4e63b7046d70978b1b	mine packaged right-panel guard crop
