artifact	path	sha256	note
raw_imagegen_forest-edge_room_topology_source_pr08_v3.png	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/raw_imagegen_forest-edge_room_topology_source_pr08_v3.png	17a0b2c014deb70b3d9ed667f350ba0f35e98ae4225a6f1bfbdb60feac9893a5	raw built-in imagegen candidate
ui_map_stage_forest_edge_room_topology_source_pr08_v3.png	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/ui_map_stage_forest_edge_room_topology_source_pr08_v3.png	ddef18551b44a17ed5ce9e7ab7086df92514edf098736c122bf3bbe9d1f587cb	postprocessed V3 candidate copied to runtime same-key PNG
previous_forest-edge_room_topology_source_pr08_v2.png	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/previous_forest-edge_room_topology_source_pr08_v2.png	b4d845b549688434db3cb8f1be9d22cf753727e1ba40ebd604afa8d9da728a67	previous V2 runtime source copy for comparison
raw_imagegen_mine_room_topology_source_pr08_v3.png	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/raw_imagegen_mine_room_topology_source_pr08_v3.png	0acc9cfba5ba48f56cf01891c9b6419e0836adddd6f183757559c754df314c16	raw built-in imagegen candidate
ui_map_stage_mine_room_topology_source_pr08_v3.png	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/ui_map_stage_mine_room_topology_source_pr08_v3.png	24809707f4d09de47836b0146e80ef34bfb8d314223c96f980230561901fd57f	postprocessed V3 candidate copied to runtime same-key PNG
previous_mine_room_topology_source_pr08_v2.png	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/previous_mine_room_topology_source_pr08_v2.png	7335e931483630be5fb61fd008df6d4480c4df9cc0db313208a51fbc1fe9ae3e	previous V2 runtime source copy for comparison
raw_imagegen_shadow-depths_room_topology_source_pr08_v3.png	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/raw_imagegen_shadow-depths_room_topology_source_pr08_v3.png	5907746d37d3608a37ce24c8a89a6eec6527d02f204f9ca2fc9ff13d92d3f42d	raw built-in imagegen candidate
ui_map_stage_shadow_depths_room_topology_source_pr08_v3.png	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/ui_map_stage_shadow_depths_room_topology_source_pr08_v3.png	4b0059d56f9e6a85ad8604d445a8f71e93b2dc3d8839f727d00ebc9970cb8daa	postprocessed V3 candidate copied to runtime same-key PNG
previous_shadow-depths_room_topology_source_pr08_v2.png	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/previous_shadow-depths_room_topology_source_pr08_v2.png	12368e284c314ee32cda27683615dbd9b8f7b0396f6af6e1600c538beeed7ba1	previous V2 runtime source copy for comparison
non-ruins-topology-source-v3-source-board.png	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/non-ruins-topology-source-v3-source-board.png	16d1f7a543ec105a1eb68b64dd03dcc85cb131c0bbdf9f1f4a3717dd9a921167	source comparison board
source-metrics.tsv	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/source-metrics.tsv	0e0adae8c21686086f7a975b0337fdecfd6dbb08b93b86c2ce1ad75dec62185b	source luminance metrics
forest-edge-topology-source-v3-board.png	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/forest-edge-topology-source-v3-board.png	13ca872c259c0971d3bacaf5998151ca25687737752cc2ce43761a02b94cc3bc	D9 forest_edge runtime board after V3 topology source replacement
forest-edge-topology-source-v3-crop.png	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/forest-edge-topology-source-v3-crop.png	f37eedcf05f01a806d8b7a69bf477452ffcd4748430e74be8cf7825494c86bde	D9 forest_edge runtime map-stage crop after V3 topology source replacement
forest-edge-runtime-evidence-index.tsv	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/forest-edge-runtime-evidence-index.tsv	aec5770cf85565a04b40860bc527d10fa6f9cd7c061d6bf5ccc7b2f7bd1ead62	copied D9 forest_edge runtime evidence index
shadow-depths-topology-source-v3-board.png	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/shadow-depths-topology-source-v3-board.png	b6c550eb91e24761910150659db3313c1eae6f47d8ccb41138dfb72195b9b823	D9 shadow_depths runtime board after V3 topology source replacement
shadow-depths-topology-source-v3-crop.png	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/shadow-depths-topology-source-v3-crop.png	21515d3b17f2a6b1147b9e40420f39d626b0cf02bbe0fbde5f4fe6eea5c138ea	D9 shadow_depths runtime map-stage crop after V3 topology source replacement
shadow-depths-runtime-evidence-index.tsv	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/shadow-depths-runtime-evidence-index.tsv	c635bb7189af29904b154090c27404dddaf3033732dd8c0d7d062d6ab11e2a57	copied D9 shadow_depths runtime evidence index
wall-mass-slab-vs-topology-source-v3-runtime-board.png	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/wall-mass-slab-vs-topology-source-v3-runtime-board.png	3bc2b8e5d51908294cc8531112b49b25e8ec8f1d0113e14b278cf5fbd949d5c9	previous vs V3 runtime crop comparison board
runtime-crop-metrics.tsv	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/runtime-crop-metrics.tsv	e5d8b126cbd36699d6b5559b59909759f2695fbd8b9ba5cc502a1dc420ffd27e	runtime crop luminance and edge metrics
