family	variant	path	sha256	meanLuma	p90Luma	p98Luma	brightOver70	brightOver100
forest_edge	previous-v2	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/previous_forest-edge_room_topology_source_pr08_v2.png	b4d845b549688434db3cb8f1be9d22cf753727e1ba40ebd604afa8d9da728a67	32.228	58.279	76.048	0.036044	0.001474
forest_edge	raw-imagegen-v3	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/raw_imagegen_forest-edge_room_topology_source_pr08_v3.png	17a0b2c014deb70b3d9ed667f350ba0f35e98ae4225a6f1bfbdb60feac9893a5	24.529	50.877	81.606	0.036368	0.007951
forest_edge	postprocessed-v3	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/ui_map_stage_forest_edge_room_topology_source_pr08_v3.png	ddef18551b44a17ed5ce9e7ab7086df92514edf098736c122bf3bbe9d1f587cb	29.481	64.382	104.623	0.078956	0.023805
forest_edge	runtime-v3	client/src/main/resources/dark-v1/ui/ui_map_stage_forest_edge_room_topology_source_pr08_demo.png	ddef18551b44a17ed5ce9e7ab7086df92514edf098736c122bf3bbe9d1f587cb	29.481	64.382	104.623	0.078956	0.023805
mine	previous-v2	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/previous_mine_room_topology_source_pr08_v2.png	7335e931483630be5fb61fd008df6d4480c4df9cc0db313208a51fbc1fe9ae3e	28.399	50.331	66.328	0.013253	0.000445
mine	raw-imagegen-v3	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/raw_imagegen_mine_room_topology_source_pr08_v3.png	0acc9cfba5ba48f56cf01891c9b6419e0836adddd6f183757559c754df314c16	22.034	46.333	77.786	0.029373	0.006815
mine	postprocessed-v3	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/ui_map_stage_mine_room_topology_source_pr08_v3.png	24809707f4d09de47836b0146e80ef34bfb8d314223c96f980230561901fd57f	26.844	58.942	101.411	0.065393	0.020978
mine	runtime-v3	client/src/main/resources/dark-v1/ui/ui_map_stage_mine_room_topology_source_pr08_demo.png	24809707f4d09de47836b0146e80ef34bfb8d314223c96f980230561901fd57f	26.844	58.942	101.411	0.065393	0.020978
shadow_depths	previous-v2	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/previous_shadow-depths_room_topology_source_pr08_v2.png	12368e284c314ee32cda27683615dbd9b8f7b0396f6af6e1600c538beeed7ba1	21.921	39.653	56.225	0.005327	0.000334
shadow_depths	raw-imagegen-v3	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/raw_imagegen_shadow-depths_room_topology_source_pr08_v3.png	5907746d37d3608a37ce24c8a89a6eec6527d02f204f9ca2fc9ff13d92d3f42d	16.523	37.511	79.316	0.027278	0.010490
shadow_depths	postprocessed-v3	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v3-2026-06-03/ui_map_stage_shadow_depths_room_topology_source_pr08_v3.png	4b0059d56f9e6a85ad8604d445a8f71e93b2dc3d8839f727d00ebc9970cb8daa	20.796	47.444	100.378	0.046447	0.020210
shadow_depths	runtime-v3	client/src/main/resources/dark-v1/ui/ui_map_stage_shadow_depths_room_topology_source_pr08_demo.png	4b0059d56f9e6a85ad8604d445a8f71e93b2dc3d8839f727d00ebc9970cb8daa	20.796	47.444	100.378	0.046447	0.020210
