label	packet_artifact	golden_actual_hash	artifact_sha256	notes
source-selected-edit	UI/review/dark-uiux-pr08-exploration/room-art-plate-direction-a/runtime-candidate-f-targeted-art-edit/pr08-room-art-plate-f-targeted-edit-d.png	N/A	65ff02e0f090221d70d0c506247f0b88822a98a23343f7e291ded3ff1b4934d7	Selected same-key Candidate F targeted art edit.
placement-vs-targeted-art-edit-map-board	UI/review/dark-uiux-pr08-exploration/room-art-plate-direction-a/runtime-candidate-f-targeted-art-edit/placement-vs-targeted-art-edit-map-board.png	N/A	c3ba2800c48475fd4b175277e24452927a0a961dd1a9147f75040e4dd8a8203e	Side-by-side map crop board for director review.
ui-demo-new-parity-1672x941	UI/review/dark-uiux-pr08-exploration/room-art-plate-direction-a/runtime-candidate-f-targeted-art-edit/ui-demo-new-parity-1672x941.png	f0fd5d3b6b4af98492359d73a69f53b130f18e2474bbb371e848f6fd0f668f88	8e7acfe191894b93e2fa733b297f3dfc2eaa6c4b5b9e7c87a9e1d4021aaedefa	Full runtime evidence after targeted Candidate F art edit D.
ui-demo-new-parity-1280x800	UI/review/dark-uiux-pr08-exploration/room-art-plate-direction-a/runtime-candidate-f-targeted-art-edit/ui-demo-new-parity-1280x800.png	c057e18ce94d0ebc6b8388b2ce39ea6a1560f546e4813322d78e59a15eca47f9	a1a6fe78533f7cab5c8b2e5107fb3d758f3f93ca6fe88f3d8be9d9f6bb34bb6f	Responsive runtime evidence after targeted Candidate F art edit D.
ui-demo-new-map-stage-crop	UI/review/dark-uiux-pr08-exploration/room-art-plate-direction-a/runtime-candidate-f-targeted-art-edit/ui-demo-new-map-stage-crop.png	781eda1ab95dccd6400307db6e1358cd48f7d56cbbd7d17b34a9f45f70b6263b	2f27e753a9d6d548425588c95a3c8bd92844e8647792d9dfd047bd525b25eb68	Map-stage crop used for D3 decision.
ui-demo-new-right-panel-grid	UI/review/dark-uiux-pr08-exploration/room-art-plate-direction-a/runtime-candidate-f-targeted-art-edit/ui-demo-new-right-panel-grid.png	36e9b06dc1aba326458cd9c907e02062130d7fb5321007f13483fd18e96ccfcc	c87c7f868fd0eec1e669e3d12f68e90959b2d518f4b0640903c0bf730afefe21	Right-panel crop unchanged by this pass.
ui-demo-new-bottom-deck-no-command-hints	UI/review/dark-uiux-pr08-exploration/room-art-plate-direction-a/runtime-candidate-f-targeted-art-edit/ui-demo-new-bottom-deck-no-command-hints.png	6bf2380371c23586c38737409e70fb487c903b82b89ed989fc80c0f8e837a142	b24d493ef30b0cbdd26b664cd87bb0402714cd935d521c18a4d115a0fa73490a	Bottom deck crop unchanged by this pass.
ui-demo-new-nav-rail-crop	UI/review/dark-uiux-pr08-exploration/room-art-plate-direction-a/runtime-candidate-f-targeted-art-edit/ui-demo-new-nav-rail-crop.png	c253dc7d8e1aca962a973415973c6a1d9cc739afd704d943a0c28e678f3419d6	7e85df5eaeb4dbb71f06f848c3666256fe947291889dd2082eafa7469e11fd8b	Nav rail crop unchanged by this pass.
ui-demo-new-inventory-page-1	UI/review/dark-uiux-pr08-exploration/room-art-plate-direction-a/runtime-candidate-f-targeted-art-edit/ui-demo-new-inventory-page-1.png	021a21d9494e20ad4374d4209e2e66d38b7e0280d55f1845ca01b33377c039cf	8f7d133734beda9cf064f74120f36b64b9b570162680da6028981c4a3c14ff9d	Inventory page 1 crop unchanged by this pass.
ui-demo-new-inventory-page-2	UI/review/dark-uiux-pr08-exploration/room-art-plate-direction-a/runtime-candidate-f-targeted-art-edit/ui-demo-new-inventory-page-2.png	3f93fa09695715e8ab612fbd28d62675e82f1a8a6b8dc0e1ba8430ce8a3a7a8f	e18f528d09e2458f39051cbac2542f9bac6b5d067dbe47b068d58f13b0705bfe	Inventory page 2 crop unchanged by this pass.
